iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
80,0,24.408704,15.028200,9.376542,0.003961,55213,5119,1.198865,0.335364,0.540284,0.459716,0,0
81,0,102.559015,12.505200,3.653815,86.400000,44043,2359,0.956326,0.154547,0.455506,0.544494,1.0,1.0
82,0,27.818571,16.281900,11.532710,0.003961,59381,5108,1.289366,0.334644,0.52192,0.47808,0,0
83,0,35.138287,19.372800,15.761526,0.003961,67063,2487,1.456169,0.162932,0.535758,0.464242,0,0
84,0,33.487462,18.110400,15.373101,0.003961,66853,6485,1.451609,0.424856,0.416127,0.583873,0,0
85,0,31.804300,17.025300,14.775039,0.003961,65785,9034,1.428419,0.591850,0.391968,0.608032,0,0
86,0,39.002979,20.773800,18.225218,0.003961,71518,2272,1.552903,0.148847,0.396787,0.603213,0,0
87,0,95.470901,5.780700,3.290201,86.400000,30405,11136,0.660198,0.729560,0.49014,0.50986,1.0,1.0
88,0,26.483862,14.576100,11.903801,0.003961,60237,11650,1.307953,0.763234,0.590487,0.409513,0,0
89,0,55.464463,8.753700,3.508782,43.201981,43801,14622,0.951071,0.957940,0.512926,0.487074,0,1.0
90,0,29.166593,15.682200,13.480431,0.003961,63304,11030,1.374548,0.722615,0.515308,0.484692,0,0
91,0,24.286879,13.230300,11.052617,0.003961,58594,14493,1.272278,0.949489,0.519083,0.480917,0,0
92,0,96.502137,8.850900,1.251237,86.400000,34428,4925,0.747551,0.322655,0.519792,0.480208,1.0,1.0
93,0,33.619465,18.441300,15.174204,0.003961,66367,4896,1.441057,0.320755,0.590197,0.409803,0,0
94,0,36.610964,18.533400,18.073603,0.003961,72219,10441,1.568124,0.684028,0.457938,0.542062,0,0
95,0,20.173213,13.426800,6.742452,0.003961,50102,5346,1.087887,0.350236,0.521228,0.478772,0,0
96,0,96.096175,7.005000,2.691175,86.400000,31586,8236,0.685841,0.539570,0.532086,0.467914,1.0,1.0
97,0,96.124448,6.528000,3.196448,86.400000,30588,8828,0.664171,0.578354,0.509821,0.490179,1.0,1.0
98,0,36.931097,19.662600,17.264536,0.003961,70352,4810,1.527585,0.315121,0.483553,0.516447,0,0
99,0,22.588443,13.128300,9.456181,0.003961,55456,11695,1.204141,0.766182,0.531772,0.468228,0,0
100,0,19.937640,12.710400,7.223279,0.003961,51072,8704,1.108949,0.570231,0.448653,0.551347,0,0
101,0,95.389636,5.115900,3.873736,86.400000,29253,12200,0.635184,0.799266,0.492273,0.507727,1.0,1.0
102,0,97.176194,8.095800,2.680394,86.400000,31601,4615,0.686167,0.302345,0.431014,0.568986,1.0,1.0
103,0,95.024836,4.697400,3.927436,86.400000,29148,13490,0.632904,0.883779,0.475782,0.524218,1.0,1.0
104,0,30.351069,15.337800,15.009308,0.003961,66331,15205,1.440275,0.996135,0.505946,0.494054,0,0
105,0,95.520099,8.088300,1.031799,86.400000,34862,7901,0.756974,0.517623,0.477389,0.522611,1.0,1.0
106,0,33.300829,18.765600,14.531268,0.003961,64625,2073,1.403232,0.135810,0.396613,0.603387,0,0
107,0,97.746108,8.866200,2.479908,86.400000,31987,2433,0.694548,0.159395,0.49495,0.50505,1.0,1.0
108,0,96.052755,8.905800,0.746955,86.400000,38367,8681,0.833080,0.568724,0.536402,0.463598,1.0,1.0
109,0,96.704298,6.183300,4.120998,86.400000,28758,8147,0.624435,0.533740,0.430711,0.569289,1.0,1.0
110,0,29.046518,15.760200,13.282357,0.003961,62909,10375,1.365972,0.679704,0.541652,0.458348,0,0
111,0,28.818987,16.389600,12.425426,0.003961,61161,6529,1.328016,0.427738,0.484076,0.515924,0,0
112,0,21.283901,12.475800,8.804140,0.003961,54185,12599,1.176543,0.825406,0.461405,0.538595,0,0
113,0,32.121911,16.952400,15.165550,0.003961,66566,10058,1.445378,0.658936,0.477652,0.522348,0,0
114,0,17.466447,11.644800,5.817686,0.003961,48325,9509,1.049303,0.622969,0.450284,0.549716,0,0
115,0,29.025096,15.288600,13.732535,0.003961,63817,12855,1.385687,0.842178,0.526468,0.473532,0,0
116,0,24.534263,14.877600,9.652702,0.003961,55776,6184,1.211089,0.405136,0.530672,0.469328,0,0
117,0,60.033408,12.879900,3.951527,43.201981,44596,1663,0.968333,0.108949,0.503176,0.496824,0,1.0
118,0,35.456912,17.627700,17.825251,0.003961,71792,13033,1.558852,0.853839,0.466334,0.533666,0,0
119,0,95.917762,7.959000,1.558762,86.400000,33822,7292,0.734392,0.477725,0.465128,0.534872,1.0,1.0
120,0,22.353978,14.451300,7.898717,0.003961,52321,4150,1.136070,0.271882,0.496535,0.503465,0,0
121,0,34.646067,17.826300,16.815806,0.003961,69777,10356,1.515100,0.678459,0.478298,0.521702,0,0
122,0,96.958052,10.445400,0.112652,86.400000,36674,1856,0.796319,0.121593,0.416843,0.583157,1.0,1.0
123,0,32.543377,16.918800,15.620616,0.003961,67470,11074,1.465007,0.725498,0.479366,0.520634,0,0
124,0,94.984391,6.039900,2.544491,86.400000,31878,11745,0.692181,0.769458,0.589286,0.410714,1.0,1.0
125,0,97.079182,8.293800,2.385382,86.400000,32185,4539,0.698847,0.297366,0.532731,0.467269,1.0,1.0
126,0,34.538820,17.915700,16.619159,0.003961,69378,9659,1.506436,0.632796,0.546717,0.453283,0,0
127,0,97.939240,8.320800,3.218440,86.400000,30521,2785,0.662716,0.182455,0.467429,0.532571,1.0,1.0
128,0,27.687015,15.148500,12.534554,0.003961,61460,10965,1.334509,0.718357,0.50953,0.49047,0,0
129,0,37.722693,19.697400,18.021332,0.003961,71933,6275,1.561914,0.411098,0.584627,0.415373,0,0
130,0,38.132300,20.392200,17.736139,0.003961,70877,2903,1.538984,0.190186,0.542428,0.457572,0,0
131,0,20.428197,13.104600,7.319636,0.003961,51252,7570,1.112858,0.495938,0.495785,0.504215,0,0
132,0,95.938315,8.259300,1.279015,86.400000,34374,6843,0.746378,0.448310,0.562412,0.437588,1.0,1.0
133,0,33.338132,18.606600,14.727571,0.003961,65323,3301,1.418388,0.216260,0.570158,0.429842,0,0
134,0,30.977242,16.898100,14.075181,0.003961,64403,8076,1.398411,0.529088,0.536568,0.463432,0,0
135,0,24.327895,14.028300,10.295633,0.003961,57086,10325,1.239534,0.676428,0.41791,0.58209,0,0
136,0,33.525205,18.400800,15.120444,0.003961,66267,4931,1.438885,0.323048,0.539767,0.460233,0,0
137,0,29.048244,15.070200,13.974082,0.003961,64300,14066,1.396175,0.921515,0.44003,0.55997,0,0
138,0,94.917513,4.742400,3.775113,86.400000,29449,13641,0.639439,0.893671,0.446131,0.553869,1.0,1.0
139,0,16.192121,10.433400,5.754760,0.003961,48211,13433,1.046827,0.880045,0.513575,0.486425,0,0
140,0,95.425547,8.941800,0.083747,86.400000,36731,6925,0.797557,0.453682,0.492253,0.507747,1.0,1.0
141,0,17.069319,10.882800,6.182558,0.003961,49049,12773,1.065023,0.836806,0.526663,0.473337,0,0
142,0,96.570297,8.367600,1.802697,86.400000,33339,5447,0.723905,0.356853,0.464357,0.535643,1.0,1.0
143,0,95.525748,6.603000,2.522748,86.400000,31920,9910,0.693093,0.649240,0.520117,0.479883,1.0,1.0
144,0,25.105001,13.797600,11.303440,0.003961,59076,13084,1.282744,0.857180,0.470945,0.529055,0,0
145,0,98.661078,11.115600,1.145478,86.400000,39147,2095,0.850017,0.137251,0.496164,0.503836,1.0,1.0
146,0,24.427593,13.940400,10.483232,0.003961,57458,10990,1.247612,0.719995,0.498731,0.501269,0,0
147,0,20.700841,12.379200,8.317680,0.003961,53230,11966,1.155807,0.783936,0.443147,0.556853,0,0
148,0,95.478259,5.602200,3.476059,86.400000,30038,11364,0.652229,0.744497,0.580875,0.419125,1.0,1.0
149,0,94.528126,4.430100,3.698026,86.400000,29602,14835,0.642762,0.971895,0.403845,0.596155,1.0,1.0
150,0,97.436297,8.523600,2.512697,86.400000,41842,13430,0.908534,0.879848,0.489167,0.510833,1.0,1.0
151,0,58.257957,10.676700,4.379277,43.201981,45506,9917,0.988092,0.649699,0.510888,0.489112,0,1.0
152,0,94.489290,6.564900,1.524390,86.400000,33891,12008,0.735891,0.786688,0.491236,0.508764,1.0,1.0
153,0,18.812920,13.532100,5.276859,0.003961,47170,2063,1.024224,0.135155,0.488989,0.511011,0,0
154,0,93.833853,7.396800,0.037053,86.400000,36823,12167,0.799554,0.797104,0.525223,0.474777,1.0,1.0
155,0,31.847240,17.385000,14.458279,0.003961,65116,7166,1.413893,0.469471,0.499031,0.500969,0,0
156,0,20.222851,12.579000,7.639890,0.003961,51894,9964,1.126798,0.652778,0.516405,0.483595,0,0
157,0,93.595840,5.758500,1.437340,86.400000,34063,14868,0.739625,0.974057,0.464698,0.535302,1.0,1.0
158,0,34.479574,18.901500,15.574113,0.003961,67039,4034,1.455648,0.264282,0.42319,0.57681,0,0
159,0,96.756450,7.020000,3.336450,86.400000,30308,6908,0.658091,0.452568,0.540363,0.459637,1.0,1.0
160,0,24.700521,13.381200,11.315360,0.003961,59108,14504,1.283439,0.950210,0.549853,0.450147,0,0
161,0,23.436696,13.253400,10.179335,0.003961,56876,12698,1.234974,0.831892,0.535482,0.464518,0,0
162,0,96.756737,10.335300,1.714429,84.707008,40269,5818,0.874379,0.381158,0.543153,0.456847,0.9647293359914124,1.0
163,0,94.271928,6.477300,1.394628,86.400000,34147,12556,0.741449,0.822589,0.563144,0.436856,1.0,1.0
164,0,31.146954,16.501800,14.641192,0.003961,65556,10550,1.423447,0.691169,0.50373,0.49627,0,0
165,0,32.726586,16.346700,16.375925,0.003961,68990,14501,1.498011,0.950013,0.584547,0.415453,0,0
166,0,27.781629,15.598500,12.179168,0.003961,60736,8741,1.318788,0.572655,0.40395,0.59605,0,0
167,0,96.023943,9.547800,0.076143,86.400000,37046,5220,0.804397,0.341981,0.540405,0.459595,1.0,1.0
168,0,97.732177,9.366300,1.965877,86.400000,33003,1782,0.716609,0.116745,0.593253,0.406747,1.0,1.0
169,0,100.525879,10.654800,3.471079,86.400000,43721,8205,0.949334,0.537539,0.463926,0.536074,1.0,1.0
170,0,30.314541,17.281800,13.028780,0.003961,62233,4627,1.351293,0.303132,0.556339,0.443661,0,0
171,0,35.634743,19.630800,15.999981,0.003961,66978,1542,1.454324,0.101022,0.527965,0.472035,0,0
172,0,24.645202,15.162300,9.478941,0.003961,55403,4862,1.202990,0.318527,0.528371,0.471629,0,0
173,0,24.019382,14.234700,9.780721,0.003961,56064,8615,1.217343,0.564400,0.487713,0.512287,0,0
174,0,35.675285,19.230900,16.440424,0.003961,68764,4661,1.493104,0.305359,0.556731,0.443269,0,0
175,0,35.655343,19.049400,16.601982,0.003961,69165,5667,1.501811,0.371266,0.581621,0.418379,0,0
176,0,25.170310,14.863200,10.303149,0.003961,57066,7522,1.239100,0.492794,0.439364,0.560636,0,0
177,0,24.255953,15.138000,9.113992,0.003961,54673,4213,1.187140,0.276009,0.431006,0.568994,0,0
178,0,34.852182,19.343700,15.504521,0.003961,66262,1783,1.438777,0.116811,0.47347,0.52653,0,0
179,0,19.515966,13.117800,6.394205,0.003961,49428,5702,1.073253,0.373559,0.503116,0.496884,0,0
180,0,76.454964,10.156500,3.015697,63.282767,42828,8973,0.929944,0.587854,0.48196,0.51804,0.5183909845046173,1.0
181,0,94.072326,6.739200,0.933126,86.400000,35057,12593,0.761208,0.825013,0.536395,0.463605,1.0,1.0
182,0,20.429982,13.799700,6.626321,0.003961,49847,3848,1.082350,0.252096,0.427249,0.572751,0,0
183,0,21.824604,12.555600,9.265043,0.003961,55090,13238,1.196194,0.867269,0.563972,0.436028,0,0
184,0,59.539228,11.755500,4.581747,43.201981,45894,6709,0.996517,0.439531,0.553273,0.446727,0,1.0
185,0,25.672402,14.466300,11.202141,0.003961,58858,10637,1.278010,0.696868,0.517269,0.482731,0,0
186,0,30.103057,16.067100,14.031996,0.003961,64375,10818,1.397803,0.708726,0.498559,0.501441,0,0
187,0,22.295021,14.305200,7.985860,0.003961,52509,4825,1.140152,0.316103,0.551589,0.448411,0,0
188,0,17.691090,11.770500,5.916629,0.003961,48518,9283,1.053493,0.608163,0.530249,0.469751,0,0
189,0,101.671218,11.585400,3.685818,86.400000,44135,5517,0.958323,0.361439,0.462862,0.537138,1.0,1.0
190,0,32.114447,17.694900,14.415586,0.003961,64983,6000,1.411005,0.393082,0.457401,0.542599,0,0
191,0,94.045654,5.319600,2.326054,86.400000,32310,14578,0.701562,0.955058,0.456385,0.543615,1.0,1.0
192,0,36.688336,19.324200,17.360175,0.003961,70662,6248,1.534316,0.409329,0.481764,0.518236,0,0
193,0,94.199308,7.798800,0.000508,86.400000,36895,10899,0.801118,0.714033,0.585659,0.414341,1.0,1.0
194,0,24.192963,14.180100,10.008901,0.003961,56516,9249,1.227157,0.605936,0.527623,0.472377,0,0
195,0,25.309599,15.043200,10.262438,0.003961,56974,6830,1.237102,0.447458,0.479349,0.520651,0,0
196,0,95.015727,6.791400,1.824327,86.400000,33299,10661,0.723036,0.698441,0.533492,0.466508,1.0,1.0
197,0,24.857892,13.855200,10.998731,0.003961,58475,12291,1.269694,0.805228,0.541944,0.458056,0,0
198,0,58.585534,10.653300,4.730253,43.201981,46196,10685,1.003075,0.700013,0.520438,0.479562,0,1.0
