iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
62,0,97.516106,8.962800,2.149345,86.403961,36420,6544,0.896161,0.619697,0.209682,0.229201,0.2838,0.277317,1.0,0,1.0,0
63,0,104.911200,7.953600,0.550422,96.407178,31107,4595,0.765428,0.435133,0.38437425,0.24462625,0.18978024999999998,0.18121924999999997,1.0,0.3084415584415584,1.0,0
64,0,99.877865,10.189800,3.284104,86.403961,38641,4675,0.950812,0.442708,0.22520475,0.21315775,0.22648675000000001,0.33515075,1.0,0,1.0,0
65,0,139.080137,5.823600,3.654556,129.601981,24970,5558,0.614419,0.526326,0.197275,0.279433,0.206919,0.316373,1.0,1.0,1.0,0
66,0,138.849223,7.906800,1.340442,129.601981,29546,3190,0.727018,0.302083,0.271429,0.327759,0.149732,0.25108,1.0,1.0,1.0,0
67,0,27.157469,15.709800,11.439746,0.007922,54038,1672,1.329675,0.158333,0.16832,0.321534,0.170789,0.339357,0,0,0,0
68,0,27.946144,14.750100,13.188122,0.007922,57995,8828,1.427042,0.835985,0.39199,0.204712,0.229636,0.173662,0,0,0,0
69,0,28.224005,14.916600,13.299483,0.007922,58204,8482,1.432185,0.803220,0.405348,0.164183,0.213226,0.217243,0,0,0,0
70,0,26.407460,15.414600,10.984938,0.007922,53264,1882,1.310630,0.178220,0.24255275,0.18991075000000002,0.27308275000000004,0.29445375,0,0,0,0
71,0,24.461968,13.545600,10.908446,0.007922,53554,8402,1.317766,0.795644,0.256077,0.257596,0.23623,0.250097,0,0,0,0
72,0,31.711528,16.379700,15.323906,0.007922,62098,7499,1.528002,0.710133,0.20433775,0.39106275,0.15998475,0.24461475000000002,0,0,0,0
73,0,96.837280,9.648300,0.785019,86.403961,33735,1574,0.830094,0.149053,0.20272575,0.34510175000000004,0.30393175,0.14824075000000003,1.0,0,1.0,0
74,0,26.613136,14.217000,12.388214,0.007922,56444,9054,1.388878,0.857386,0.237606,0.238048,0.347684,0.176662,0,0,0,0
75,0,17.011081,11.364900,5.638258,0.007922,43246,5363,1.064124,0.507860,0.291302,0.246732,0.162372,0.299594,0,0,0,0
76,0,34.460945,18.096900,16.356123,0.007922,63710,3387,1.567667,0.320739,0.392566,0.148032,0.260932,0.19847,0,0,0,0
77,0,25.796777,14.447100,11.341755,0.007922,54348,6191,1.337303,0.586269,0.31386675,0.24082475000000003,0.23593775000000003,0.20937075000000002,0,0,0,0
78,0,96.837415,8.670000,1.763454,86.403961,35662,6762,0.877510,0.640341,0.30614875,0.20769975000000002,0.23040775000000002,0.25574375000000005,1.0,0,1.0,0
79,0,30.287606,16.847100,13.432584,0.007922,57392,1235,1.412205,0.116951,0.25708200000000003,0.18285600000000002,0.18718600000000002,0.372876,0,0,0,0
80,0,35.070276,18.425400,16.636954,0.007922,64030,2612,1.575541,0.247348,0.319571,0.270148,0.146204,0.264077,0,0,0,0
