Iteration,Pbar_kw_per_server,R_kw_per_server,Weight_0,Weight_1,Weight_2,Weight_3,Predicted_M_RSR,Predicted_C_track,Predicted_C_Qos,Predicted_C_total,Optimization_Objective
18,0.17910000681877136,0.17909900844097137,0.249944269657135,0.2500046193599701,0.24993015825748444,0.2501208782196045,6.3690643310546875,0.8867413401603699,1.7241073846817017,8.979912757873535,20.545711517333984
19,0.17910000681877136,0.17909900844097137,0.24994158744812012,0.25000515580177307,0.2499265968799591,0.2501266598701477,6.369068622589111,0.886742889881134,1.7241028547286987,8.979914665222168,20.545711517333984
20,0.17910000681877136,0.17909900844097137,0.24993884563446045,0.25000569224357605,0.2499229609966278,0.25013241171836853,6.369071006774902,0.8867425322532654,1.7241002321243286,8.979913711547852,20.54570770263672
21,0.17910000681877136,0.17909900844097137,0.24993616342544556,0.25000622868537903,0.24991939961910248,0.25013819336891174,6.369076728820801,0.8867406249046326,1.7241014242172241,8.979918479919434,20.545711517333984
22,0.17910000681877136,0.17909900844097137,0.24993343651294708,0.250006765127182,0.24991580843925476,0.25014397501945496,6.369078636169434,0.886734664440155,1.7240995168685913,8.979912757873535,20.545696258544922
23,0.17910000681877136,0.17909900844097137,0.249930739402771,0.250007301568985,0.24991220235824585,0.2501497268676758,6.369084358215332,0.8867267370223999,1.7240957021713257,8.979907035827637,20.54568099975586
24,0.17910000681877136,0.17909900844097137,0.24992802739143372,0.25000783801078796,0.24990861117839813,0.2501554787158966,6.36909818649292,0.8867264986038208,1.7240930795669556,8.979917526245117,20.54568862915039
25,0.17910000681877136,0.17909900844097137,0.24992533028125763,0.25000840425491333,0.2499050348997116,0.2501612603664398,6.3691086769104,0.8867300152778625,1.7240902185440063,8.979928970336914,20.545700073242188
26,0.17910000681877136,0.17909900844097137,0.24992261826992035,0.2500089406967163,0.2499014437198639,0.25016698241233826,6.369117736816406,0.8867315649986267,1.7240890264511108,8.979938507080078,20.54570960998535
27,0.17910000681877136,0.17909900844097137,0.24991992115974426,0.2500094473361969,0.24989785254001617,0.2501727342605591,6.3691205978393555,0.8867199420928955,1.7240889072418213,8.979928970336914,20.54568862915039
28,0.17910000681877136,0.17909900844097137,0.24991722404956818,0.25001004338264465,0.24989426136016846,0.2501784861087799,6.3691325187683105,0.8867274522781372,1.7240830659866333,8.97994327545166,20.545703887939453
29,0.17910000681877136,0.17909900844097137,0.2499145120382309,0.25001055002212524,0.24989067018032074,0.25018423795700073,6.369143962860107,0.8867193460464478,1.7240839004516602,8.979947090148926,20.545700073242188
30,0.17910000681877136,0.17909900844097137,0.2499118149280548,0.2500110864639282,0.24988707900047302,0.25018996000289917,6.369140148162842,0.8867227435112,1.7240791320800781,8.979942321777344,20.54569435119629
